symbol,token,name
FCL-EQ,6198,FCL
TECHNOE-EQ,6445,TECHNOE
POLICYBZR-EQ,6656,POLICYBZR
LATENTVIEW-EQ,6818,LATENTVIEW
GREENLAM-EQ,6848,GREENLAM
AARTIIND-EQ,7,AARTIIND
HEMIPROP-EQ,701,HEMIPROP
SHIVALIK-EQ,7016,SHIVALIK
ANANDRATHI-EQ,7145,ANANDRATHI
RATEGAIN-EQ,7177,RATEGAIN
BBETF0432-EQ,7196,BBETF0432
SHRIRAMPPS-EQ,7200,SHRIRAMPPS
KANORICHEM-EQ,1835,KANORICHEM
IVZINGOLD-EQ,18292,IVZINGOLD
TCPLPACK-EQ,184,TCPLPACK
KARURVYSYA-EQ,1838,KARURVYSYA
POWERINDIA-EQ,18457,POWERINDIA
GNA-EQ,18571,GNA
SAMHI-EQ,18614,SAMHI
SIGNATURE-EQ,18743,SIGNATURE
CARYSIL-EQ,1879,CARYSIL
YATRA-EQ,18760,YATRA
NBIFIN-EQ,19111,NBIFIN
KOPRAN-EQ,1919,KOPRAN
UMESLTD-EQ,19142,UMESLTD
HEADSUP-EQ,19205,HEADSUP
VALIANTLAB-EQ,19218,VALIANTLAB
BLISSGVS-EQ,19265,BLISSGVS
THEJO-EQ,19279,THEJO
BAJAJCON-EQ,19531,BAJAJCON
LIQUIDSBI-EQ,19705,LIQUIDSBI
LMW-EQ,1979,LMW
TASTYBITE-EQ,20092,TASTYBITE
UNIDT-EQ,201,UNIDT
AKSHARCHEM-EQ,20178,AKSHARCHEM
GANDHAR-EQ,20303,GANDHAR
IOLCP-EQ,20413,IOLCP
INOXINDIA-EQ,20607,INOXINDIA
RPPINFRA-EQ,20760,RPPINFRA
PSPPROJECT-EQ,20877,PSPPROJECT
AZAD-EQ,20905,AZAD
A2ZINFRA-EQ,20906,A2ZINFRA
SUNCLAY-EQ,20956,SUNCLAY
STARCEMENT-EQ,21091,STARCEMENT
TEJASNET-EQ,21131,TEJASNET
AXISNIFTY-EQ,21252,AXISNIFTY
STEELXIND-EQ,21339,STEELXIND
THEINVEST-EQ,21427,THEINVEST
AKG-EQ,2176,AKG
LASA-EQ,21713,LASA
TEXRAIL-EQ,21828,TEXRAIL
INDTERRAIN-EQ,21957,INDTERRAIN
MOREPENLAB-EQ,2259,MOREPENLAB
PARKHOTELS-EQ,22649,PARKHOTELS
MUKKA-EQ,22980,MUKKA
GOPAL-EQ,23066,GOPAL
MOSMALL250-EQ,23181,MOSMALL250
SRM-EQ,23402,SRM
NURECA-EQ,2350,NURECA
AADHARHFC-EQ,23729,AADHARHFC
NEULANDLAB-EQ,2406,NEULANDLAB
VADILALIND-EQ,24196,VADILALIND
SBISILVER-EQ,24366,SBISILVER
BSLNIFTY-EQ,24781,BSLNIFTY
UNIECOM-EQ,24809,UNIECOM
ONWARDTEC-EQ,2481,ONWARDTEC
ORIENTTECH-EQ,24961,ORIENTTECH
SURAJLTD-EQ,24966,SURAJLTD
STYLEBAAZA-EQ,25114,STYLEBAAZA
EBANKNIFTY-EQ,25258,EBANKNIFTY
NORTHARC-EQ,25426,NORTHARC
MANBA-EQ,25597,MANBA
ESSARSHPNG-EQ,25634,ESSARSHPNG
DSSL-EQ,25690,DSSL
POLYMED-EQ,25718,POLYMED
KANANIIND-EQ,25786,KANANIIND
WAAREEENER-EQ,25907,WAAREEENER
EMULTIMQ-EQ,25996,EMULTIMQ
HERANBA-EQ,2614,HERANBA
POLYPLEX-EQ,2687,POLYPLEX
LIQUIDPLUS-EQ,27075,LIQUIDPLUS
KMEW-EQ,27084,KMEW
EIEL-EQ,27213,EIEL
SAMPANN-EQ,27303,SAMPANN
AUROPHARMA-EQ,275,AUROPHARMA
RCF-EQ,2866,RCF
RELIANCE-EQ,2885,RELIANCE
CARRARO-EQ,28879,CARRARO
TVSHLTD-EQ,29008,TVSHLTD
SETL-EQ,29075,SETL
ONESOURCE-EQ,29224,ONESOURCE
ITCHOTELS-EQ,29251,ITCHOTELS
DENTA-EQ,29256,DENTA
NIF100INAV-EQ,29956,NIF100INAV
KOHINOOR-EQ,3009,KOHINOOR
MOCAPITAL-EQ,30065,MOCAPITAL
ISHANCH-EQ,30249,ISHANCH
NIF100IETF-EQ,30392,NIF100IETF
EQUA50INAV-EQ,30503,EQUA50INAV
SHANTIGEAR-EQ,3078,SHANTIGEAR
TOP20INAV-EQ,30590,TOP20INAV
SHREYANIND-EQ,3126,SHREYANIND
SIMPLEXINF-EQ,3162,SIMPLEXINF
SREEL-EQ,31837,SREEL
SRF-EQ,3273,SRF
MODISONLTD-EQ,3316,MODISONLTD
SMLMAH-EQ,3387,SMLMAH
THERMAX-EQ,3475,THERMAX
CLSEL-EQ,3482,CLSEL
TORNTPHARM-EQ,3518,TORNTPHARM
JUBLPHARMA-EQ,3637,JUBLPHARMA
BATAINDIA-EQ,371,BATAINDIA
TATACOMM-EQ,3721,TATACOMM
ANMOL-EQ,3727,ANMOL
WHEELS-EQ,3766,WHEELS
ARIHANTCAP-EQ,3813,ARIHANTCAP
21STCENMGM-EQ,4,21STCENMGM
REMSONSIND-EQ,3965,REMSONSIND
CORALFINAC-EQ,4007,CORALFINAC
BHARATFORG-EQ,422,BHARATFORG
JAYAGROGN-EQ,4041,JAYAGROGN
ZENITHEXPO-EQ,4176,ZENITHEXPO
STERTOOLS-EQ,4299,STERTOOLS
MIRZAINT-EQ,4394,MIRZAINT
ATLASCYCLE-EQ,4568,ATLASCYCLE
BLUECHIP-EQ,4681,BLUECHIP
ENGINERSIN-EQ,4907,ENGINERSIN
SHEMAROO-EQ,5068,SHEMAROO
CIGNITITEC-EQ,5142,CIGNITITEC
CARTRADE-EQ,5407,CARTRADE
MONTECARLO-EQ,5938,MONTECARLO
AIROLAM-EQ,6068,AIROLAM
BHAGCHEM-EQ,6164,BHAGCHEM
CESC-EQ,628,CESC
GULPOLY-EQ,6286,GULPOLY
EQUAL50ADD-EQ,6606,EQUAL50ADD
SBC-EQ,6792,SBC
MAPMYINDIA-EQ,7227,MAPMYINDIA
VPRPL-EQ,18341,VPRPL
MIDCAPBETA-EQ,18347,MIDCAPBETA
ASIANHOTNR-EQ,18422,ASIANHOTNR
LTTS-EQ,18564,LTTS
KIRLOSBROS-EQ,18581,KIRLOSBROS
IDFNIFTYET-EQ,18783,IDFNIFTYET
TARAPUR-EQ,18827,TARAPUR
VBL-EQ,18921,VBL
RAJRATAN-EQ,18962,RAJRATAN
KIRLOSIND-EQ,19025,KIRLOSIND
TI-EQ,19196,TI
HMVL-EQ,19211,HMVL
SENSEXETF-EQ,19224,SENSEXETF
LAURUSLABS-EQ,19234,LAURUSLABS
MONIFTY500-EQ,19237,MONIFTY500
EMAMIREAL-EQ,19277,EMAMIREAL
ROSSARI-EQ,19410,ROSSARI
HDFCGOLD-EQ,19543,HDFCGOLD
DEEPAKNTR-EQ,19943,DEEPAKNTR
INFRABEES-EQ,20072,INFRABEES
ASHAPURMIN-EQ,203,ASHAPURMIN
IRFC-EQ,2029,IRFC
RESPONIND-EQ,20323,RESPONIND
CHENNPETRO-EQ,2049,CHENNPETRO
VTL-EQ,2073,VTL
KIRLOSENG-EQ,20936,KIRLOSENG
BFINVEST-EQ,21113,BFINVEST
GTPL-EQ,21195,GTPL
AUBANK-EQ,21238,AUBANK
LOWVOLIETF-EQ,21254,LOWVOLIETF
SALASAR-EQ,21362,SALASAR
MAGADSUGAR-EQ,21392,MAGADSUGAR
TATAGOLD-EQ,21401,TATAGOLD
OPTIEMUS-EQ,21469,OPTIEMUS
NEXT50BETA-EQ,21478,NEXT50BETA
COCHINSHIP-EQ,21508,COCHINSHIP
BRNL-EQ,21683,BRNL
DIXON-EQ,21690,DIXON
MATRIMONY-EQ,21726,MATRIMONY
ICICIGI-EQ,21770,ICICIGI
ITIETF-EQ,22365,ITIETF
GILT5BETA-EQ,22521,GILT5BETA
BANDHANBNK-EQ,2263,BANDHANBNK
RPTECH-EQ,22670,RPTECH
KRYSTAL-EQ,23175,KRYSTAL
NCC-EQ,2319,NCC
AWFIS-EQ,23864,AWFIS
RAILTEL-EQ,2431,RAILTEL
ESTER-EQ,24265,ESTER
ABDL-EQ,24308,ABDL
NKIND-EQ,2439,NKIND
DHANUKA-EQ,24409,DHANUKA
OILIETF-EQ,24533,OILIETF
OILCOUNTUB-EQ,2472,OILCOUNTUB
AKUMS-EQ,24715,AKUMS
FIRSTCRY-EQ,24814,FIRSTCRY
IBULLSLTD-EQ,24999,IBULLSLTD
ASAHISONG-EQ,25088,ASAHISONG
OSWALAGRO-EQ,2514,OSWALAGRO
BROOKS-EQ,25136,BROOKS
TOP10ADD-EQ,25171,TOP10ADD
SANOFICONR-EQ,25222,SANOFICONR
ARKADE-EQ,25398,ARKADE
APLAPOLLO-EQ,25780,APLAPOLLO
LLOYDSENT-EQ,25807,LLOYDSENT
3PLAND-EQ,2595,3PLAND
AFCONS-EQ,25977,AFCONS
MTARTECH-EQ,2709,MTARTECH
PRECWIRE-EQ,2717,PRECWIRE
NTPCGREEN-EQ,27176,NTPCGREEN
AUTOAXLES-EQ,278,AUTOAXLES
DAMCAPITAL-EQ,28662,DAMCAPITAL
CEWATER-EQ,28764,CEWATER
SANATHAN-EQ,28805,SANATHAN
ZUARI-EQ,29050,ZUARI
VMART-EQ,29284,VMART
MOSCHIP-EQ,29459,MOSCHIP
NEXT30ADD-EQ,29464,NEXT30ADD
PROTEAN-EQ,29472,PROTEAN
MCLOUD-EQ,29482,MCLOUD
NIF100BEES-EQ,29577,NIF100BEES
REPCOHOME-EQ,29598,REPCOHOME
SANGHIIND-EQ,2997,SANGHIIND
ATULAUTO-EQ,30023,ATULAUTO
SPECTRUM-EQ,30455,SPECTRUM
AONELIQUID-EQ,30472,AONELIQUID
SIL360INAV-EQ,30498,SIL360INAV
SHREDIGCEM-EQ,3099,SHREDIGCEM
BALKRISIND-EQ,335,BALKRISIND
SUBROS-EQ,3324,SUBROS
BANARISUG-EQ,350,BANARISUG
TTKPRESTIG-EQ,3546,TTKPRESTIG
SOLARA-EQ,3672,SOLARA
VOLTAS-EQ,3718,VOLTAS
MAHLOG-EQ,385,MAHLOG
VENKEYS-EQ,3757,VENKEYS
ZEEL-EQ,3812,ZEEL
VARROC-EQ,3857,VARROC
AEGISLOG-EQ,40,AEGISLOG
SOMANYCERA-EQ,3880,SOMANYCERA
NATCOPHARM-EQ,3918,NATCOPHARM
EIMCOELECO-EQ,4040,EIMCOELECO
BHARATGEAR-EQ,426,BHARATGEAR
CREDITACC-EQ,4421,CREDITACC
SBCL-EQ,4656,SBCL
INDRAMEDCO-EQ,4751,INDRAMEDCO
IRCON-EQ,4986,IRCON
GRINFRA-EQ,5054,GRINFRA
ETERNAL-EQ,5097,ETERNAL
GMDCLTD-EQ,5204,GMDCLTD
BPL-EQ,530,BPL
EPIGRAL-EQ,5382,EPIGRAL
AAVAS-EQ,5385,AAVAS
YUKEN-EQ,5501,YUKEN
LIKHITHA-EQ,578,LIKHITHA
AXISCETF-EQ,5732,AXISCETF
BANKNIFTY1-EQ,5851,BANKNIFTY1
PARAS-EQ,5911,PARAS
LICNETFGSC-EQ,6062,LICNETFGSC
ARTNIRMAN-EQ,6156,ARTNIRMAN
CENTENKA-EQ,619,CENTENKA
IGARASHI-EQ,634,IGARASHI
CONSUMIETF-EQ,6446,CONSUMIETF
SIGACHI-EQ,6663,SIGACHI
FOODSIN-EQ,6673,FOODSIN
EXIDEIND-EQ,676,EXIDEIND
MOLDTKPAC-EQ,6713,MOLDTKPAC
LINC-EQ,6951,LINC
HESTERBIO-EQ,7048,HESTERBIO
ACCELYA-EQ,7053,ACCELYA
ICDSLTD-EQ,6977,ICDSLTD
MICEL-EQ,7169,MICEL
SBIETFQLTY-EQ,7218,SBIETFQLTY
MEDPLUS-EQ,7254,MEDPLUS
NIFTYADD-EQ,7451,NIFTYADD
CIFL-EQ,756015,CIFL
TINNARUBR-EQ,756020,TINNARUBR
CRISIL-EQ,757,CRISIL
MOMGF-EQ,757099,MOMGF
BRIGHOTEL-EQ,757794,BRIGHOTEL
IGCL-EQ,757801,IGCL
INDIQUBE-EQ,757845,INDIQUBE
ANTHEM-EQ,757885,ANTHEM
QUALITY30-EQ,757946,QUALITY30
JSLL-EQ,758115,JSLL
LOTUSDEV-EQ,758145,LOTUSDEV
GROWWNIFTY-EQ,758697,GROWWNIFTY
VIKRAN-EQ,758973,VIKRAN
MONIFTY100-EQ,759371,MONIFTY100
OMFREIGHT-EQ,759411,OMFREIGHT
PATELRMART-EQ,759439,PATELRMART
SOLARWORLD-EQ,759929,SOLARWORLD
ARSSBL-EQ,759956,ARSSBL
SUDEEPPHRM-EQ,760039,SUDEEPPHRM
WAKEFIT-EQ,760259,WAKEFIT
DIVIDEND-EQ,760412,DIVIDEND
NEXT50ETF-EQ,760709,NEXT50ETF
FRACTAL-EQ,760961,FRACTAL
HEALTHCARE-EQ,760986,HEALTHCARE
IMAGICAA-EQ,7672,IMAGICAA
SHADOWFAX-EQ,761469,SHADOWFAX
DALMIASUG-EQ,781,DALMIASUG
WEL-EQ,7835,WEL
ZYDUSLIFE-EQ,7929,ZYDUSLIFE
MAKEINDIA-EQ,7979,MAKEINDIA
GRWRHITECH-EQ,7982,GRWRHITECH
BSHSL-EQ,809,BSHSL
RPSGVENT-EQ,8119,RPSGVENT
DEVIT-EQ,8146,DEVIT
FIBERWEB-EQ,8159,FIBERWEB
SAGARDEEP-EQ,8175,SAGARDEEP
MSUMI-EQ,8596,MSUMI
EIHOTEL-EQ,919,EIHOTEL
ORCHPHARMA-EQ,926,ORCHPHARMA
METROPOLIS-EQ,9581,METROPOLIS
COROMANDEL-EQ,739,COROMANDEL
HPAL-EQ,7376,HPAL
GROWWMOM50-EQ,756086,GROWWMOM50
ABLBL-EQ,756843,ABLBL
MOPSE-EQ,757431,MOPSE
GROWWNET-EQ,757814,GROWWNET
BELLACASA-EQ,757938,BELLACASA
PASHUPATI-EQ,757955,PASHUPATI
MBEL-EQ,758150,MBEL
SGFIN-EQ,758853,SGFIN
CPEDU-EQ,758941,CPEDU
ATLANTAELE-EQ,759007,ATLANTAELE
SAATVIKGL-EQ,759057,SAATVIKGL
VMSTMT-EQ,759152,VMSTMT
TIGERLOGS-EQ,759176,TIGERLOGS
JAINREC-EQ,759244,JAINREC
BMWVENTLTD-EQ,759256,BMWVENTLTD
GROWWRLTY-EQ,759428,GROWWRLTY
PINELABS-EQ,759820,PINELABS
UTLSOLAR-EQ,759876,UTLSOLAR
SKFINDUS-EQ,760101,SKFINDUS
CMSINFO-EQ,7603,CMSINFO
NETF-EQ,7838,NETF
GVPIL-EQ,7862,GVPIL
DALBHARAT-EQ,8075,DALBHARAT
MOMOMENTUM-EQ,8182,MOMOMENTUM
DEEPAKFERT-EQ,827,DEEPAKFERT
BLUESTARCO-EQ,8311,BLUESTARCO
GSEC5IETF-EQ,8342,GSEC5IETF
CHALET-EQ,8546,CHALET
LOWVOL1-EQ,8632,LOWVOL1
SONAMLTD-EQ,8806,SONAMLTD
GAEL-EQ,8828,GAEL
TTML-EQ,8954,TTML
PIXTRANS-EQ,9087,PIXTRANS
EICHERMOT-EQ,910,EICHERMOT
EIDPARRY-EQ,916,EIDPARRY
SNXT50BETA-EQ,9168,SNXT50BETA
ARROWGREEN-EQ,9260,ARROWGREEN
KRITIKA-EQ,9288,KRITIKA
SAKAR-EQ,9539,SAKAR
ESABINDIA-EQ,955,ESABINDIA
DELHIVERY-EQ,9599,DELHIVERY
PARADEEP-EQ,9741,PARADEEP
EVERESTIND-EQ,993,EVERESTIND
SETFNN50-EQ,7353,SETFNN50
MONQ50-EQ,7422,MONQ50
OSWALPUMPS-EQ,756802,OSWALPUMPS
SCODATUBES-EQ,757478,SCODATUBES
ATHERENERG-EQ,757645,ATHERENERG
TOP15IETF-EQ,757781,TOP15IETF
SBILIQETF-EQ,758496,SBILIQETF
RAYMONDREL-EQ,758551,RAYMONDREL
INTERNET-EQ,758595,INTERNET
MEIL-EQ,758748,MEIL
AONEGOLD-EQ,758904,AONEGOLD
SGMART-EQ,758889,SGMART
GKENERGY-EQ,759048,GKENERGY
EPACKPEB-EQ,759251,EPACKPEB
RUBICON-EQ,759316,RUBICON
SOLEX-EQ,759397,SOLEX
MIDWESTLTD-EQ,759517,MIDWESTLTD
STUDDS-EQ,759587,STUDDS
PWL-EQ,759723,PWL
ENERGY-EQ,759780,ENERGY
CHEMICAL-EQ,759885,CHEMICAL
MARKOLINES-EQ,760204,MARKOLINES
MIDCAPADD-EQ,760356,MIDCAPADD
NEXT50ADD-EQ,760599,NEXT50ADD
ALGOQUANT-EQ,761270,ALGOQUANT
MONARCH-EQ,7679,MONARCH
KEEPLEARN-EQ,778,KEEPLEARN
ALEMBICLTD-EQ,79,ALEMBICLTD
SILVER-EQ,8003,SILVER
AWL-EQ,8110,AWL
DCW-EQ,817,DCW
MID150BEES-EQ,8506,MID150BEES
INDOBORAX-EQ,8614,INDOBORAX
UMAEXPORTS-EQ,8842,UMAEXPORTS
VERANDA-EQ,8890,VERANDA
ARVINDFASN-EQ,9111,ARVINDFASN
ELECTCAST-EQ,928,ELECTCAST
TAJGVK-EQ,9354,TAJGVK
PNCINFRA-EQ,9385,PNCINFRA
AXISCADES-EQ,9436,AXISCADES
MAHESHWARI-EQ,9576,MAHESHWARI
SUBEXLTD-EQ,967,SUBEXLTD
KHANDSE-EQ,9641,KHANDSE
STAR-EQ,7374,STAR
NILASPACES-EQ,7411,NILASPACES
ALPHA-EQ,7412,ALPHA
WOCKPHARMA-EQ,7506,WOCKPHARMA
ENRIN-EQ,756871,ENRIN
PICCADIL-EQ,757754,PICCADIL
SAMBHV-EQ,757767,SAMBHV
GROWWLOVOL-EQ,758300,GROWWLOVOL
SML100CASE-EQ,758955,SML100CASE
BLUESTONE-EQ,759291,BLUESTONE
MOENERGY-EQ,759374,MOENERGY
ADVANCE-EQ,759402,ADVANCE
LENSKART-EQ,759605,LENSKART
CHOICEGOLD-EQ,759610,CHOICEGOLD
EUROPRATIK-EQ,759797,EUROPRATIK
CGPOWER-EQ,760,CGPOWER
STYL-EQ,759934,STYL
GROWWCAPM-EQ,760051,GROWWCAPM
JAYKAY-EQ,760073,JAYKAY
MODINATUR-EQ,760277,MODINATUR
GOLDBND-EQ,760325,GOLDBND
BHARATCOAL-EQ,760726,BHARATCOAL
GKSL-EQ,761197,GKSL
UNIINFO-EQ,7791,UNIINFO
BIL-EQ,7848,BIL
SPENCERS-EQ,8163,SPENCERS
NLCINDIA-EQ,8585,NLCINDIA
VETO-EQ,8652,VETO
SHAILY-EQ,8727,SHAILY
OBCL-EQ,8797,OBCL
CHOICEIN-EQ,8866,CHOICEIN
AGROPHOS-EQ,9046,AGROPHOS
ROTO-EQ,9049,ROTO
BALAJITELE-EQ,9158,BALAJITELE
TPLPLASTEH-EQ,9219,TPLPLASTEH
STARTECK-EQ,9305,STARTECK
STLTECH-EQ,9309,STLTECH
IOB-EQ,9348,IOB
CREATIVEYE-EQ,9384,CREATIVEYE
TRIDENT-EQ,9685,TRIDENT
AETHER-EQ,9810,AETHER
HAVELLS-EQ,9819,HAVELLS
WEWIN-EQ,9862,WEWIN
MOM100INAV-EQ,10122,MOM100INAV
AYMSYNTEX-EQ,10285,AYMSYNTEX
FINCABLES-EQ,1038,FINCABLES
UNITDSPR-EQ,10447,UNITDSPR
NIFTYBEES-EQ,10576,NIFTYBEES
MOMENTUM-EQ,10693,MOMENTUM
SURANAT&P-EQ,10700,SURANAT&P
BBETF0INAV-EQ,10021,BBETF0INAV
MID150INAV-EQ,10134,MID150INAV
SETF50INAV-EQ,10161,SETF50INAV
SETFNIF50-EQ,10176,SETFNIF50
KAYA-EQ,10276,KAYA
ASAL-EQ,10634,ASAL
GABRIEL-EQ,1085,GABRIEL
UNIONBANK-EQ,10753,UNIONBANK
DIVISLAB-EQ,10940,DIVISLAB
TMB-EQ,10945,TMB
INFOBEAN-EQ,11027,INFOBEAN
SUMIT-EQ,11140,SUMIT
HARSHA-EQ,11162,HARSHA
AXISILVER-EQ,11193,AXISILVER
HDFCQUAL-EQ,11255,HDFCQUAL
PTC-EQ,11355,PTC
VAIBHAVGBL-EQ,11364,VAIBHAVGBL
XPROINDIA-EQ,11407,XPROINDIA
RKFORGE-EQ,11411,RKFORGE
KRITINUT-EQ,11432,KRITINUT
KRIDHANINF-EQ,11480,KRIDHANINF
ASTRAMICRO-EQ,11618,ASTRAMICRO
GTL-EQ,1162,GTL
GMBREW-EQ,1168,GMBREW
INDOCO-EQ,11677,INDOCO
SHAHALLOYS-EQ,11856,SHAHALLOYS
GEOJITFSL-EQ,11896,GEOJITFSL
SWELECTES-EQ,11909,SWELECTES
BIKAJI-EQ,11966,BIKAJI
RENUKA-EQ,12026,RENUKA
PRAXIS-EQ,1204,PRAXIS
DOLATALGO-EQ,12124,DOLATALGO
SWSOLAR-EQ,12489,SWSOLAR
PRECAM-EQ,12603,PRECAM
GUJALKALI-EQ,1267,GUJALKALI
ABB-EQ,13,ABB
EKC-EQ,13091,EKC
HARRMALAYA-EQ,1313,HARRMALAYA
GALAXYSURF-EQ,1315,GALAXYSURF
NITINSPIN-EQ,13175,NITINSPIN
ROHLTD-EQ,13182,ROHLTD
SULA-EQ,13218,SULA
INDOTECH-EQ,13275,INDOTECH
KEI-EQ,13310,KEI
SDBL-EQ,1338,SDBL
SUNTV-EQ,13404,SUNTV
EMAMILTD-EQ,13517,EMAMILTD
VIDHIING-EQ,13536,VIDHIING
HINDCOMPOS-EQ,1372,HINDCOMPOS
FLUOROCHEM-EQ,13750,FLUOROCHEM
VGL-EQ,13771,VGL
SUTLEJTEX-EQ,13801,SUTLEJTEX
HIRECT-EQ,13890,HIRECT
VEEDOL-EQ,14019,VEEDOL
SIYSIL-EQ,14096,SIYSIL
GANDHITUBE-EQ,14116,GANDHITUBE
AGI-EQ,1412,AGI
IZMO-EQ,14174,IZMO
NSLNISP-EQ,14180,NSLNISP
HSM250INAV-EQ,14243,HSM250INAV
OSWALSEEDS-EQ,14305,OSWALSEEDS
GANESHHOU-EQ,14339,GANESHHOU
RAJTV-EQ,14403,RAJTV
THEMISMED-EQ,14485,THEMISMED
GOLDBETA-EQ,14535,GOLDBETA
BIRLANU-EQ,1455,BIRLANU
INSECTICID-EQ,14657,INSECTICID
KMSUGAR-EQ,14667,KMSUGAR
IFBAGRO-EQ,1482,IFBAGRO
OMAXE-EQ,14853,OMAXE
AKI-EQ,14890,AKI
RBA-EQ,1494,RBA
MOTILALOFS-EQ,14947,MOTILALOFS
PSUBNKBEES-EQ,15032,PSUBNKBEES
CERA-EQ,15039,CERA
DELTACORP-EQ,15044,DELTACORP
COLPAL-EQ,15141,COLPAL
JYOTHYLAB-EQ,15146,JYOTHYLAB
CEATLTD-EQ,15254,CEATLTD
NMDC-EQ,15332,NMDC
DSPN50INAV-EQ,10004,DSPN50INAV
EBBE32INAV-EQ,10019,EBBE32INAV
MOM50INAV-EQ,10127,MOM50INAV
AURUM-EQ,10310,AURUM
EBBE31INAV-EQ,10017,EBBE31INAV
ICICI2INAV-EQ,10028,ICICI2INAV
SCHAEFFLER-EQ,1011,SCHAEFFLER
EMAMIPAP-EQ,10074,EMAMIPAP
MANXT5INAV-EQ,10117,MANXT5INAV
SETF10INAV-EQ,10155,SETF10INAV
MANORAMA-EQ,10227,MANORAMA
AARON-EQ,1030,AARON
PPL-EQ,10297,PPL
CSLFINANCE-EQ,10350,CSLFINANCE
JISLJALEQS-EQ,10397,JISLJALEQS
MUTHOOTCAP-EQ,10415,MUTHOOTCAP
DYCL-EQ,10417,DYCL
SATIN-EQ,10453,SATIN
CONS-EQ,10512,CONS
SHARDAMOTR-EQ,10530,SHARDAMOTR
HDFC50INAV-EQ,10584,HDFC50INAV
SHREEPUSHK-EQ,10588,SHREEPUSHK
BHARTIARTL-EQ,10604,BHARTIARTL
OLECTRA-EQ,10637,OLECTRA
NUCLEUS-EQ,10791,NUCLEUS
MOVALUE-EQ,10825,MOVALUE
DANGEE-EQ,1110,DANGEE
HDFCGROWTH-EQ,11241,HDFCGROWTH
LICNETFSEN-EQ,11441,LICNETFSEN
LT-EQ,11483,LT
APARINDS-EQ,11491,APARINDS
ULTRACEMCO-EQ,11532,ULTRACEMCO
TCS-EQ,11536,TCS
TEXINFRA-EQ,11549,TEXINFRA
HDFCSENSEX-EQ,11593,HDFCSENSEX
ACEINTEG-EQ,11779,ACEINTEG
SAKSOFT-EQ,11794,SAKSOFT
IIFL-EQ,11809,IIFL
FMGOETZE-EQ,1190,FMGOETZE
BASML-EQ,12034,BASML
BBTCL-EQ,12153,BBTCL
GRASIM-EQ,1232,GRASIM
G1NSETEST-EQ,12842,G1NSETEST
KRISHANA-EQ,12847,KRISHANA
GFLLIMITED-EQ,1289,GFLLIMITED
UNIPARTS-EQ,13057,UNIPARTS
TRIVENI-EQ,13081,TRIVENI
AIAENG-EQ,13086,AIAENG
PVRINOX-EQ,13147,PVRINOX
KEC-EQ,13260,KEC
M&MFIN-EQ,13285,M&MFIN
CENTURYPLY-EQ,13305,CENTURYPLY
SGL-EQ,13367,SGL
KAMDHENU-EQ,13457,KAMDHENU
ALLCARGO-EQ,13501,ALLCARGO
HIMATSEIDE-EQ,1360,HIMATSEIDE
VOLTAMP-EQ,13577,VOLTAMP
ACE-EQ,13587,ACE
PARSVNATH-EQ,13791,PARSVNATH
RUCHIRA-EQ,13821,RUCHIRA
SOBHA-EQ,13826,SOBHA
DONEAR-EQ,13839,DONEAR
PLASTIBLEN-EQ,13920,PLASTIBLEN
JASH-EQ,13982,JASH
LUMAXTECH-EQ,14014,LUMAXTECH
WANBURY-EQ,14063,WANBURY
NETWORK18-EQ,14111,NETWORK18
HUBTOWN-EQ,14203,HUBTOWN
TIIL-EQ,14223,TIIL
HBS500INAV-EQ,14239,HBS500INAV
VIYASH-EQ,14296,VIYASH
INDIANB-EQ,14309,INDIANB
ASTRAL-EQ,14418,ASTRAL
JKTYRE-EQ,14435,JKTYRE
LEXUS-EQ,14459,LEXUS
HLVLTD-EQ,1448,HLVLTD
ABSLLIQUID-EQ,14518,ABSLLIQUID
NDLVENTURE-EQ,14547,NDLVENTURE
ALPHAGEO-EQ,14597,ALPHAGEO
DLF-EQ,14732,DLF
031NSETEST-EQ,14753,031NSETEST
071NSETEST-EQ,14764,071NSETEST
091NSETEST-EQ,14769,091NSETEST
SIGMAADV-EQ,14793,SIGMAADV
VIPCLOTHNG-EQ,14843,VIPCLOTHNG
ALPA-EQ,14848,ALPA
ASIANTILES-EQ,14889,ASIANTILES
PURVA-EQ,14922,PURVA
INDOWIND-EQ,14952,INDOWIND
POWERGRID-EQ,14977,POWERGRID
HITECHCORP-EQ,15161,HITECHCORP
ECLERX-EQ,15179,ECLERX
KIRLPNU-EQ,15180,KIRLPNU
UJJIVANSFB-EQ,15228,UJJIVANSFB
KAVDEFENCE-EQ,15244,KAVDEFENCE
RPOWER-EQ,15259,RPOWER
INDIANHUME-EQ,1530,INDIANHUME
VGUARD-EQ,15362,VGUARD
APCOTEXIND-EQ,154,APCOTEXIND
ATALREAL-EQ,15649,ATALREAL
INFY-EQ,1594,INFY
LATTEYS-EQ,15840,LATTEYS
VAISHALI-EQ,16589,VAISHALI
SILVERAG-EQ,16777,SILVERAG
ZFCVINDIA-EQ,16915,ZFCVINDIA
THYROCARE-EQ,17032,THYROCARE
NETWEB-EQ,17433,NETWEB
MGL-EQ,17534,MGL
LIQUID-EQ,17572,LIQUID
AHLUCONT-EQ,17833,AHLUCONT
REDTAPE-EQ,17859,REDTAPE
JSWENERGY-EQ,17869,JSWENERGY
HINDCOPPER-EQ,17939,HINDCOPPER
WHIRLPOOL-EQ,18011,WHIRLPOOL
